"lemma","count","strong","lexicon"
"Καῖσαρ",28,"G25410","{'brief': 'Caesar', 'long': 'Caesar, a surname of the gens Iulia, which became practically synonymous with the Emperor for the time being; in the Gospels it always refers to Tiberias.'}"
"Κηφᾶς",9,"G27860","{'brief': 'Cephas', 'long': 'Cephas (Aramaic for rock), the new name given to Simon Peter, the apostle.'}"
"Κιλικία",7,"G27910","{'brief': 'Cilicia', 'long': 'Cilicia, a Roman province between the Taurus range of mountains and the coast in the south-east corner of Asia Minor, linked up with the province of Syria.'}"
"Κολοσσαί",1,"G28570","{'brief': 'Colossae', 'long': 'Colossae, a town of the Roman province Asia, in the Lycus valley, near Laodicea and Hierapolis.'}"
"Κορίνθιος",2,"G28810","{'brief': 'Corinthian', 'long': 'Corinthian, of Corinth.'}"
"Κορνήλιος",8,"G28830","{'brief': 'Cornelius', 'long': 'Cornelius, a centurion of the Roman army, stationed at Caesarea.'}"
"Κρής",2,"G29120","{'brief': 'a Cretan', 'long': 'a Cretan, an inhabitant of Crete.'}"
"Κρήτη",5,"G29140","{'brief': 'Crete', 'long': 'Crete.'}"
"Κυρήνη",1,"G29570","{'brief': 'Cyrene', 'long': 'Cyrene, a district west of Egypt on the Mediterranean coast, forming with Crete a Roman province.'}"
"Κυρηναῖος",6,"G29560","{'brief': 'belonging to Cyrene, a Cyrenaean', 'long': 'belonging to Cyrene, a Cyrenaean.'}"
"Κόρε",1,"G28790","{'brief': 'Korah', 'long': '(Hebrew) Korah.'}"
"Κόρινθος",6,"G28820","{'brief': 'Corinth', 'long': 'Corinth, in north-east Peloponnese, the capital of the Roman province Achaia.'}"
"Κύπριος",3,"G29530","{'brief': 'a Cypriote, belonging to Cyprus', 'long': 'a Cypriote, belonging to Cyprus.'}"
"Κύπρος",5,"G29540","{'brief': 'Cyprus', 'long': 'Cyprus.'}"
"Λάζαρος",11,"G29760","{'brief': 'Lazarus, Eliezer', 'long': 'Lazarus, Eliezer, (a) the beggar, (b) the brother of Martha and Mary, of Bethany.'}"
"Λάμεχ",1,"G29840","{'brief': 'Lamech', 'long': '(Hebrew), Lamech, son of Methuselah and father of Noah.'}"
