"lemma","count","strong","lexicon"
"Ἰωαθάμ",2,"G24880","{'brief': 'Jotham', 'long': 'Jotham, son of Uzziah and father of Ahaz.'}"
"Ἰωνᾶς",9,"G24950","{'brief': 'Jonah', 'long': '(Hebrew), Jonah, the Hebrew prophet.'}"
"Ἰωράμ",2,"G24960","{'brief': 'Joram, Jehoram', 'long': '(Hebrew), Joram, Jehoram, son of Jehoshaphat and father of Uzziah.'}"
"Ἰωσήφ",3,"G25010","{'brief': 'Joseph', 'long': 'Joseph, a proper name.'}"
"Ἰωσίας",2,"G25020","{'brief': 'Josiah', 'long': '(Hebrew), Josiah, king of Judah.'}"
"Ἰωσαφάτ",2,"G24980","{'brief': 'Jehoshaphat', 'long': '(Hebrew), Jehoshaphat, king of Judah, son of Asaph, father of Joram, an ancestor of Jesus.'}"
"Ἰόππη",10,"G24450","{'brief': 'Joppa', 'long': 'Joppa, a coast town of Judea, west-north-west of Jerusalem.'}"
"Ἰώβ",1,"G24920","{'brief': 'Job', 'long': '(Hebrew), Job, the hero of the book of that name in the Old Testament.'}"
"Ἱεροσολυμείτης",2,"G24150","{'brief': 'an inhabitant of Jerusalem', 'long': 'an inhabitant of Jerusalem.'}"
"Ἱεροσόλυμα",63,"G24140","{'brief': 'Jerusalem', 'long': 'the Greek form of the Hebrew name: Jerusalem.'}"
"Ὀζείας",2,"G36040","{'brief': 'Uzziah', 'long': 'Uzziah, son of Joram and father of Jotham, and king of Judah from about 785 to 746 B.C., an ancestor of Jesus.'}"
"Ὡσηέ",1,"G56170","{'brief': 'Hosea', 'long': 'Hosea, the Hebrew prophet.'}"
"Ῥαάβ",2,"G44600","{'brief': 'Rahab', 'long': 'Rahab, a Canaanitess, who rescued the Hebrew spies at Jericho.'}"
"Ῥαμά",1,"G44710","{'brief': 'Rama', 'long': 'Rama, a place in Ephraim, two hours north of Jerusalem.'}"
"Ῥαχάβ",1,"G44770","{'brief': 'Rahab', 'long': 'Rahab, a Canaanitess, who rescued the Hebrew spies at Jericho.'}"
"Ῥαχήλ",1,"G44780","{'brief': 'Rachel', 'long': 'Rachel, younger wife of the patriarch Jacob.'}"
"Ῥεβέκκα",1,"G44790","{'brief': 'Rebecca', 'long': 'Rebecca, wife of the patriarch Isaac.'}"
"Ῥοβοάμ",2,"G44970","{'brief': 'Rehoboam', 'long': 'Rehoboam, son of Solomon, and King of Israel.'}"
"Ῥουβήν",1,"G45020","{'brief': 'Reuben', 'long': 'Reuben, eldest son of the patriarch Jacob and founder of a tribe.'}"
"Ῥούθ",1,"G45030","{'brief': 'Ruth', 'long': 'Ruth, wife of Boaz and mother of Obed.'}"
"Ῥωμαῖος",12,"G45140","{'brief': 'Roman, a Roman citizen', 'long': 'Roman; subst: a Roman citizen.'}"
"Ῥώμη",8,"G45160","{'brief': 'Rome', 'long': 'Rome, the famous city on the Tiber, the capital of the Roman Empire.'}"
